name,category,type,source
"Complete Blood Count (CBC)","Haematology","laboratory_panel","StatPearls / Fullscript"
"Basic Metabolic Panel (BMP)","Biochemistry / Chemical Pathology","laboratory_panel","StatPearls / Fullscript"
"Comprehensive Metabolic Panel (CMP)","Biochemistry / Chemical Pathology","laboratory_panel","StatPearls / Fullscript"
"Lipid Panel","Biochemistry / Chemical Pathology","laboratory_panel","StatPearls / Fullscript"
"Thyroid Function Panel","Endocrine / Biochemistry","laboratory_panel","Fullscript"
"Coagulation Panel","Haematology","laboratory_panel","Wikipedia / Cleveland Clinic"
"Electrolyte Panel","Biochemistry / Chemical Pathology","laboratory_panel","Cleveland Clinic"
"Arterial Blood Gas (ABG)","Biochemistry / Chemical Pathology","laboratory","Wikipedia"
"Urinalysis","Urine Studies","laboratory","StatPearls / Fullscript"
"Urine Culture","Microbiology","laboratory","Wikipedia"
"Stool Culture","Microbiology","laboratory","Wikipedia"
"Blood Culture","Microbiology","laboratory","Wikipedia"
"Sputum Culture","Microbiology","laboratory","Wikipedia"
"Mantoux Test (Tuberculin Skin Test)","Immunology / Serology","laboratory","Wikipedia"
"Genetic Testing","Molecular Genetics","laboratory","Wikipedia"
"Karyotype","Cytogenetics","laboratory","MedlinePlus"
"Urea Breath Test","Microbiology","laboratory","Wikipedia"
"Chest X-Ray","Radiology / Imaging","imaging","Wikipedia / AiClinic seed"
"Abdominal X-Ray","Radiology / Imaging","imaging","Wikipedia"
"Skull X-Ray","Radiology / Imaging","imaging","Wikipedia"
"Spine X-Ray","Radiology / Imaging","imaging","Wikipedia"
"Extremity X-Ray","Radiology / Imaging","imaging","Wikipedia"
"Mammography","Radiology / Imaging","imaging","Wikipedia"
"CT Scan (Computed Tomography)","Radiology / Imaging","imaging","Wikipedia"
"CT Head","Radiology / Imaging","imaging","Clinical practice"
"CT Chest","Radiology / Imaging","imaging","Clinical practice"
"CT Abdomen/Pelvis","Radiology / Imaging","imaging","Clinical practice"
"MRI (Magnetic Resonance Imaging)","Radiology / Imaging","imaging","Wikipedia"
"MRI Brain","Radiology / Imaging","imaging","Clinical practice"
"MRI Spine","Radiology / Imaging","imaging","Clinical practice"
"MRI Knee","Radiology / Imaging","imaging","Clinical practice"
"Ultrasound","Radiology / Imaging","imaging","Wikipedia / MedlinePlus"
"Abdominal Ultrasound","Radiology / Imaging","imaging","AiClinic seed"
"Pelvic Ultrasound","Radiology / Imaging","imaging","Clinical practice"
"Thyroid Ultrasound","Radiology / Imaging","imaging","Clinical practice"
"Doppler Ultrasound","Radiology / Imaging","imaging","Clinical practice"
"Echocardiography","Cardiology / Imaging","imaging","Wikipedia"
"PET Scan (Positron Emission Tomography)","Nuclear Medicine","imaging","Wikipedia"
